ID_ESSAI;ID_ESPECE;ESPECE;ANNEE;ID_DEPARTEMENT;DEPARTEMENT;NB_PARCELLE (rdt15);Responsable;Code postal;Site expérimental;Commune
137713;17;BLE TENDRE;2018;27;EURE;70;cast;27180;BERNIENVILLE;BERNIENVILLE
137714;17;BLE TENDRE;2018;56;MORBIHAN;60;MASSON/QUEMENER;56500;Parc n°9 Charlo;BIGNAN
137716;17;BLE TENDRE;2018;51;MARNE;90;A. Decarrier;51510;ST PIERRE;SAINT-PIERRE
137717;17;BLE TENDRE;2018;67;BAS RHIN;105;LASSERRE Didier;67390;;HESSENHEIM
137718;17;BLE TENDRE;2018;18;CHER;78;E.Baranger;18570;LE CHAUMOY BTH;LE SUBDRAY
137719;17;BLE TENDRE;2018;18;CHER;75;E. BARANGER;18340;Arvalis;LISSAY-LOCHY
137720;27;ORGE D'HIVER;2018;17;CHARENTE MARITIME;18;Deschamps Thibaud;17700;Station du MAGNERAUD;SAINT-PIERRE-D'AMILLY
137727;17;BLE TENDRE;2018;91;ESSONNE;3;DESWARTE Jean-Charles;91190;;VILLIERS-LE-BACLE
137730;17;BLE TENDRE;2018;56;MORBIHAN;6;E.MASSON/M.MOQUET;56500;Bignan - R. Charlo;BIGNAN
137731;17;BLE TENDRE;2018;36;INDRE;4;E.Baranger;36100;THIZAY;THIZAY
137732;17;BLE TENDRE;2018;52;HAUTE MARNE;16;A.DECARRIER;52000;CRENAY;CRENAY
137733;17;BLE TENDRE;2018;3;ALLIER;24;Chloé Malaval-Juery;3290;Ferme Bacconnier;SAINT-POURCAIN-SUR-BESBRE
137734;17;BLE TENDRE;2018;26;DROME;3;Yves Pousset;26800;Les dames;ETOILE-SUR-RHONE
137735;17;BLE TENDRE;2018;91;ESSONNE;12;Porrez / Brelot;91720;Station de BOIGNEVILLE;BOIGNEVILLE
137736;17;BLE TENDRE;2018;44;LOIRE ATLANTIQUE;6;BODILIS;44370;Station de LA JAILLIERE;LA CHAPELLE-SAINT-SAUVEUR
137737;17;BLE TENDRE;2018;55;MEUSE;2;J-C Deswartes;55160;Bonchamps 2B;SAINT-HILAIRE-EN-WOEVRE
137738;17;BLE TENDRE;2018;1;AIN;4;Yves POUSSET;1600;MISERIEUX;MISERIEUX
137739;17;BLE TENDRE;2018;86;VIENNE;16;MOYNIER;86600;Basse Vallée;LUSIGNAN
137740;17;BLE TENDRE;2018;27;EURE;11;CAST;27170;(Site non précisé);BRAY
137741;17;BLE TENDRE;2018;2;AISNE;6;DENIS Thierry;2590;Date 1;AUBIGNY-AUX-KAISNES
137742;17;BLE TENDRE;2018;14;CALVADOS;12;VERGER Manon;14980;Station Experimentale;ROTS
137743;17;BLE TENDRE;2018;67;BAS RHIN;3;Lasserre Didier;67600;SELESTAT;SELESTAT
137744;17;BLE TENDRE;2018;41;LOIR ET CHER;4;Agnès Tréguier;41240;Chandry;OUZOUER-LE-MARCHE
137745;17;BLE TENDRE;2018;21;COTE D'OR;4;Diane CHAVASSIEUX;21640;Gilly les citeaux;GILLY-LES-CITEAUX
137746;17;BLE TENDRE;2018;69;RHONE;6;Yves POUSSET;69330;PUSIGNAN;PUSIGNAN
137747;40;BLE DUR;2018;30;GARD;18;BRAUN;30320;Marguerittes;MARGUERITTES
137748;40;BLE DUR;2018;4;ALPES DE HAUTE PROVENCE;18;Stéphane JEZEQUEL;4800;Arvalis;GREOUX-LES-BAINS
137749;40;BLE DUR;2018;26;DROME;8;Y. POUSSET;26400;;EURRE
137750;40;BLE DUR;2018;41;LOIR ET CHER;8;Mr BONNEFOY;41240;;BINAS
137751;40;BLE DUR;2018;31;HAUTE GARONNE;6;LACHURIE;31450;En Crambade;MONTESQUIEU-LAURAGAIS
137752;27;ORGE D'HIVER;2018;21;COTE D'OR;4;CHAVASSIEUX D;21121;Hauteville;HAUTEVILLE-LES-DIJON
137753;27;ORGE D'HIVER;2018;10;AUBE;4;A.DECARRIER;10240;RAMERUPT;RAMERUPT
137754;27;ORGE D'HIVER;2018;91;ESSONNE;4;PORREZ / BRELOT;91720;Mezieres;BUNO-BONNEVAUX
137755;27;ORGE D'HIVER;2018;55;MEUSE;3;JC Deswartes;55160;;SAINT-HILAIRE-EN-WOEVRE
137756;27;ORGE D'HIVER;2018;17;CHARENTE MARITIME;4;DRILLAUD;17700;Curé;SAINT-GEORGES-DU-BOIS
137757;27;ORGE D'HIVER;2018;14;CALVADOS;6;VERGER Manon;14980;Station Experimentale;ROTS
137759;28;ORGE DE PRINTEMPS;2018;51;MARNE;20;A. Decarrier;51510;ST PIERRE;SAINT-PIERRE
137760;28;ORGE DE PRINTEMPS;2018;91;ESSONNE;8;Brelot / Porrez;91720;Station de BOIGNEVILLE;BOIGNEVILLE
137761;28;ORGE DE PRINTEMPS;2018;41;LOIR ET CHER;8;A.Treiguier;41240;Mezieres;OUZOUER-LE-MARCHE
137763;27;ORGE D'HIVER;2018;91;ESSONNE;4;DESWARTE Jean-Charles;91190;VILLIERS LE BACLE;VILLIERS-LE-BACLE
137764;27;ORGE D'HIVER;2018;21;COTE D'OR;3;CHAVASSIEUX D;21910;BARGES;BARGES
137765;28;ORGE DE PRINTEMPS;2018;91;ESSONNE;4;DESWARTE Jean-Charles;91190;VILLIERS LE BACLE;VILLIERS-LE-BACLE
137766;28;ORGE DE PRINTEMPS;2018;21;COTE D'OR;3;CHAVASSIEUX D;21910;;BARGES
137798;17;BLE TENDRE;2018;51;MARNE;864;A. Decarrier;51150;JUVIGNY;JUVIGNY
137799;17;BLE TENDRE;2018;4;ALPES DE HAUTE PROVENCE;960;Stéphane Jézequel;4800;GREOUX LES BAINS;GREOUX-LES-BAINS
137802;17;BLE TENDRE;2018;30;GARD;70;K.BEAUCHENE;30300;FOURQUES;FOURQUES
137841;28;ORGE DE PRINTEMPS;2018;80;SOMME;84;CHAILLET Isabelle;80200;ESTREES MONS;ESTREES-MONS
137843;28;ORGE DE PRINTEMPS;2018;51;MARNE;84;A. Decarrier;51510;ST PIERRE;SAINT-PIERRE
137844;28;ORGE DE PRINTEMPS;2018;41;LOIR ET CHER;84;A.Treguier;41240;;OUZOUER-LE-MARCHE
137845;28;ORGE DE PRINTEMPS;2018;54;MEURTHE ET MOSELLE;84;P. Pierson;54470;(Site non précisé);ESSEY-ET-MAIZERAIS
137846;28;ORGE DE PRINTEMPS;2018;17;CHARENTE MARITIME;84;DRILLAUD;17700;Le Courdeau;SAINT-PIERRE-D'AMILLY
137849;28;ORGE DE PRINTEMPS;2018;91;ESSONNE;64;Porrez / Brelot;91720;Station de BOIGNEVILLE;BOIGNEVILLE
137850;28;ORGE DE PRINTEMPS;2018;41;LOIR ET CHER;60;A.Treiguier;41240;;OUZOUER-LE-MARCHE
137851;28;ORGE DE PRINTEMPS;2018;51;MARNE;60;A. Decarrier;51510;ST PIERRE;SAINT-PIERRE
137852;28;ORGE DE PRINTEMPS;2018;80;SOMME;62;CHAILLET Isabelle;80200;ESTREES MONS;ESTREES-MONS
137853;28;ORGE DE PRINTEMPS;2018;17;CHARENTE MARITIME;56;C.DRILLAUD;17700;Le Courdeau;SAINT-PIERRE-D'AMILLY
137854;28;ORGE DE PRINTEMPS;2018;60;OISE;64;;60810;BARBERY;BARBERY
137855;27;ORGE D'HIVER;2018;45;LOIRET;116;TREGUIER;45300;LOLAINVILLE;ENGENVILLE
137856;27;ORGE D'HIVER;2018;10;AUBE;114;A.DECARRIER;10240;RAMERUPT;RAMERUPT
137857;27;ORGE D'HIVER;2018;80;SOMME;174;isabelle CHAILLET;80200;;MESNIL-BRUNTEL
137858;27;ORGE D'HIVER;2018;89;YONNE;116;Diane CHAVASSIEUX;89160;;ARGENTEUIL-SUR-ARMANCON
137859;27;ORGE D'HIVER;2018;17;CHARENTE MARITIME;116;DRILLAUD;17330;;COURANT
137860;27;ORGE D'HIVER;2018;27;EURE;115;CAST Delphine;27170;COMBON;COMBON
137861;27;ORGE D'HIVER;2018;89;YONNE;48;Diane CHAVASSIEUX;89160;;ARGENTEUIL-SUR-ARMANCON
137862;27;ORGE D'HIVER;2018;17;CHARENTE MARITIME;48;DRILLAUD;17330;;COURANT
137863;27;ORGE D'HIVER;2018;10;AUBE;48;A.DECARRIER;10240;RAMERUPT;RAMERUPT
137864;27;ORGE D'HIVER;2018;27;EURE;48;CAST Delphine;27170;COMBON;COMBON
137865;27;ORGE D'HIVER;2018;80;SOMME;63;CHAILLET Isabelle;80200;;MESNIL-BRUNTEL
137866;27;ORGE D'HIVER;2018;45;LOIRET;48;TREGUIER;45300;LOLAINVILLE;ENGENVILLE
137867;27;ORGE D'HIVER;2018;51;MARNE;132;A.DECARRIER;51460;COURTISOLS;COURTISOLS
137868;27;ORGE D'HIVER;2018;59;NORD;108;T. DENIS;59144;;WARGNIES-LE-GRAND
137869;27;ORGE D'HIVER;2018;62;PAS DE CALAIS;120;DENIS Thierry;62500;SAINT OMER CAPELLE;SAINT-OMER
