x;y;groupe;;;;;;;;;
714130.149;6841708.23;1;;;;;;;;;
726788.995;6826362.58;2;;;;;;;;;
692092.565;6816221.9;1;;;;;;;;;
691786.8;6801461.27;2;;;;;;;;;
595908.525;6870144.25;3;;;;;;;;;
620462.834;6868804.86;4;;;;;;;;;
606215.957;6868650;4;;;;;;;;;
625182.708;6864935.35;3;;;;;;;;;
622265.075;6838459.91;5;;;;;;;;;
660399.781;6811579.18;5;;;;;;;;;
630088.519;6824510.53;6;;;;;;;;;
643890.491;6840324.82;1;;;;;;;;;
625756.468;6826661.71;5;;;;;;;;;
625756.468;6826661.71;2;;;;;;;;;
636253.358;6813774.74;7;;;;;;;;;
629825.696;6813359.68;2;;;;;;;;;
629029.878;6839111.04;1;;;;;;;;;
646964.506;6796068.77;5;;;;;;;;;
653516.016;6673559.52;5;;;;;;;;;
653516.016;6673559.52;5;;;;;;;;;
671201.865;6676130.55;2;;;;;;;;;
684157.726;6664238.21;5;;;;;;;;;
638054.976;6652947.88;5;;;;;;;;;
691054.498;6646092.78;8;;;;;;;;;
657370.409;6650389.95;2;;;;;;;;;
691323.858;6703548.07;9;;;;;;;;;
635953.802;6675926.85;4;;;;;;;;;
656416.93;6709693.93;3;;;;;;;;;
650570.363;6621983.62;10;;;;;;;;;
655769.085;6626259.2;11;;;;;;;;;
655769.085;6626259.2;2;;;;;;;;;
652579.343;6630482.14;8;;;;;;;;;
650570.363;6621983.62;4;;;;;;;;;
689910.519;6681013.46;2;;;;;;;;;
695575.829;6680903.54;5;;;;;;;;;
649751.435;6640895.67;1;;;;;;;;;
655207.573;6623464.32;11;;;;;;;;;
622408.907;6805266.11;5;;;;;;;;;
549910.815;6819693.49;12;;;;;;;;;
589337.487;6856850.3;9;;;;;;;;;
537911.837;6796066.17;4;;;;;;;;;
545294.59;6804807.9;11;;;;;;;;;
588055.671;6850516.48;2;;;;;;;;;
569896.102;6808507.71;2;;;;;;;;;
579907.368;6602103.34;13;;;;;;;;;
561981.448;6598921.91;4;;;;;;;;;
607872.132;6620903.93;1;;;;;;;;;
541872.856;6616592.44;4;;;;;;;;;
595871.918;6653401.86;6;;;;;;;;;
580734.77;6669467.2;3;;;;;;;;;
602642.276;6643438.24;3;;;;;;;;;
607872.132;6620903.93;11;;;;;;;;;
574524.069;6601532.08;4;;;;;;;;;
596209.895;6593350.41;9;;;;;;;;;
610953.33;6595732.47;12;;;;;;;;;
561036.678;6615349.62;13;;;;;;;;;
559051.126;6641800.47;1;;;;;;;;;
541466.609;6703958.99;4;;;;;;;;;
507350.968;6729285.44;2;;;;;;;;;
499238.487;6713285.84;13;;;;;;;;;
549542.001;6710684.94;1;;;;;;;;;
544432.425;6657599.59;5;;;;;;;;;
572011.857;6671696.44;1;;;;;;;;;
516557.688;6675327.36;4;;;;;;;;;
496988.215;6656999.74;1;;;;;;;;;
495846.172;6723816.28;11;;;;;;;;;
495846.172;6723816.28;11;;;;;;;;;
545811.589;6711736.6;4;;;;;;;;;
504514.59;6727452.8;5;;;;;;;;;
549687.769;6715473.45;8;;;;;;;;;
501982.753;6656003.87;1;;;;;;;;;
478554.538;6682141.35;5;;;;;;;;;
496988.215;6656999.74;3;;;;;;;;;
545681.104;6638042.35;9;;;;;;;;;
546421.456;6670845.74;5;;;;;;;;;
535726.668;6680861.62;5;;;;;;;;;
536413.928;6644009.99;6;;;;;;;;;
