COMMUNE,lat,long,CODE INSEE,data,annee,theme
ACY ROMANCE,"49,4759620115781","4,31824007496502",08001,"0,00",2020,larves
ACY ROMANCE,"49,4759620115781","4,31824007496502",08001,0 %,2020,pctpied
ACY ROMANCE,,,8001,4 %,2019,pctpied
ACY ROMANCE,,,8001,"0,04",2019,larves
Anguilcourt le sart,,,2017,10 %,2019,pctpied
Anguilcourt le sart,,,2017,"0,10",2019,larves
ANIZY LE CHÂTEAU,"49,5045246974203","3,43226791984653",02018,"0,20",2020,larves
ANIZY LE CHÂTEAU,"49,5045246974203","3,43226791984653",2018,20 %,2020,pctpied
ANTE,"49,0013210272792","4,89336520504495",51537,"0,12",2020,larves
ANTE,"49,0013210272792","4,89336520504495",51537,12 %,2020,pctpied
Ante,,,51537,3 %,2019,pctpied
Ante,,,51537,"0,03",2019,larves
ATHIES /S LAON,,,2028,56 %,2019,pctpied
ATHIES /S LAON,,,2028,"0,66",2019,larves
Bagneux,,,51032,65 %,2019,pctpied
Bagneux,,,51032,"0,84",2019,larves
BARBY,"49,5240611797851","4,28785533374714",08048,"0,12",2020,larves
BARBY,"49,5240611797851","4,28785533374714",8048,12 %,2020,pctpied
BARBY,,,8048,8 %,2019,pctpied
BARBY,,,8048,"0,08",2019,larves
BASSEVELLE,"48,9227884090306","3,28187927896107",77024,"0,30",2020,larves
BASSEVELLE,"48,9227884090306","3,28187927896107",77024,30 %,2020,pctpied
Baye,,,51042,28 %,2019,pctpied
Baye,,,51042,"0,28",2019,larves
BELLEAU,"49,1","3,3",02062,"0,05",2020,larves
Bertry,,,59074,31 %,2019,pctpied
Bertry,,,59074,"0,32",2019,larves
BESME,"49,5342206786968","3,16402263761381",02078,"0,08",2020,larves
BESME,"49,5342206786968","3,16402263761381",2078,8 %,2020,pctpied
BESME,,,2078,20 %,2019,pctpied
BESME,,,2078,"0,20",2019,larves
BISSEUIL,"49,0469176565383","4,08627042693605",51064,"0,01",2020,larves
BISSEUIL,"49,0469176565383","4,08627042693605",51064,"0,01",2020,larves
BISSEUIL,"49,0469176565383","4,08627042693605",51064,1 %,2020,pctpied
BISSEUIL,"49,0469176565383","4,08627042693605",51064,1 %,2020,pctpied
BISSEUIL,,,51064,9 %,2019,pctpied
BISSEUIL,,,51064,"0,09",2019,larves
BOUE,"50,0116184460385","3,71437943806635",02103,"0,06",2020,larves
BOUE,"50,0116184460385","3,71437943806635",02103,6 %,2020,pctpied
BOURGUIGNON SOUS COUCY,"49,5429311090778","3,15449567472915",02107,"0,10",2020,larves
BOURGUIGNON SOUS COUCY,"49,5429311090778","3,15449567472915",02107,"0,00",2020,larves
BOURGUIGNON SOUS COUCY,"49,5429311090778","3,15449567472915",2107,10 %,2020,pctpied
BOUY,"49,0871098741036","4,36351487835247",51078,"0,06",2020,larves
BOUY,"49,0871098741036","4,36351487835247",51078,6 %,2020,pctpied
Broyes,,,51092,28 %,2019,pctpied
Broyes,,,51092,"0,28",2019,larves
BRUYERES S/ FERE,,,2127,0 %,2019,pctpied
BRUYERES S/ FERE,,,2127,"0,00",2019,larves
BUSSIERES,,,77057,28 %,2019,pctpied
BUSSIERES,,,77057,"0,28",2019,larves
CHALINDREY,"47,816532","5,423328",52093,"0,12",2020,larves
CHALINDREY,"47,816532","5,423328",52093,12 %,2020,pctpied
CHAMPIGNY SUR AUBE, 48.5572815057603,"4,0569989169354",10077,"0,12",2020,larves
CHAMPIGNY SUR AUBE, 48.5572815057603,"4,0569989169354",10077,12 %,2020,pctpied
CHAMPS,,,2159,8 %,2019,pctpied
CHAMPS,,,2159,"0,08",2019,larves
CHAOURSE,"49,7008498032675","3,98591255919366",02160,"0,06",2020,larves
CHAOURSE,"49,7008498032675","3,98591255919366",02160,6 %,2020,pctpied
CHARLEVILLE,"48,8017184823903","3,65814996842894",51129,"0,01",2020,larves
CHAUDEFONTAINE,"49,1004405548609","4,87060968388768",51139,"0,04",2020,larves
CHAUDEFONTAINE,"49,1004405548609","4,87060968388768",51139,4 %,2020,pctpied
CHEZY SUR MARNE,"48,9841395364174","3,38203458067709",02190,"0,09",2020,larves
CHEZY SUR MARNE ,,,2186,"0,74",2019,larves
CHOISY EN BRIE,,,77116,"0,04",2019,larves
Clary,,,59149,27 %,2019,pctpied
Clary,,,59149,"0,27",2019,larves
CLASTRES,,,2199,30 %,2019,pctpied
CLASTRES,,,2199,"0,30",2019,larves
CLASTRES,,,2199,"0,02",2019,larves
CONGY,,,51163,20 %,2019,pctpied
CONGY,,,51163,"0,20",2019,larves
COURVILLE,"49,2717955661957","3,70949183161831",51194,"0,00",2020,larves
Courville,,,51194,"0,02",2019,larves
COUVRON AUMENENCOURT,"49,6458553682512","3,52399629758008",02231,"0,32",2020,larves
COUVRON AUMENENCOURT,"49,6458553682512","3,52399629758008",2231,32 %,2020,pctpied
CRECY SUR SERRE,"49,6986133803452","3,62261417302064",02237,"0,49",2020,larves
CRECY SUR SERRE,"49,6986133803452","3,62261417302064",2237,44 %,2020,pctpied
Crécy sur serre,,,2237,"0,10",2019,larves
Crécy sur serre,,,2237,"0,05",2019,larves
CUCHERY,"49,1272808880555","3,8270302539994",51199,"0,02",2020,larves
CUCHERY,"49,1272808880555","3,8270302539994",51199,2 %,2020,pctpied
CUTS,,,60189,8 %,2019,pctpied
CUTS,,,60189,12 %,2019,pctpied
CUTS,,,60189,"0,08",2019,larves
CUTS,,,60189,"0,12",2019,larves
DORENGT,"49,965103003534","3,70345920454119",02229,"0,04",2020,larves
DORENGT,"49,965103003534","3,70345920454119",02229,4 %,2020,pctpied
DOSCHES,"48,2949033317834","4,29044047506771",10129,"0,04",2020,larves
DOSCHES,"48,2949033317834","4,29044047506771",10129,4 %,2020,pctpied
ETREILLERS,,,2296,"0,02",2019,larves
FAUX FRESNAY,"48,6524067294137","3,94946656452693",51243,"0,04",2020,larves
FAUX FRESNAY,"48,6524067294137","3,94946656452693",51243,4 %,2020,pctpied
Flavy le martel,,,2315,20 %,2019,pctpied
Flavy le martel,,,2315,"0,20",2019,larves
fontaine les vervins,,,2321,36 %,2019,pctpied
fontaine les vervins,,,2321,"0,38",2019,larves
Guivry,,,2362,15 %,2019,pctpied
Guivry,,,2362,"0,15",2019,larves
HANNAPES,,,2366,56 %,2019,pctpied
HANNAPES,,,2366,"0,66",2019,larves
HERMONVILLE,"49,3320109203417","3,91440056513892",51291,"0,30",2020,larves
HERMONVILLE,"49,3320109203417","3,91440056513892",51291,30 %,2020,pctpied
Inchy Beaumont,,,59321,28 %,2019,pctpied
Inchy Beaumont,,,59321,"0,28",2019,larves
JOINVILLE,"48,4331207768935","5,12769633007913",52250,"0,04",2020,larves
JOINVILLE,"48,4331207768935","5,12769633007913",52250,4 %,2020,pctpied
JONCREUIL,"48,5270754028619","4,62405726130349",10180,"0,20",2020,larves
JONCREUIL,"48,5270754028619","4,62405726130349",10180,20 %,2020,pctpied
L'Echelle,,,8149,6 %,2019,pctpied
L'Echelle,,,8149,"0,06",2019,larves
La neuville au pont,,,51399,6 %,2019,pctpied
La neuville au pont,,,51399,"0,06",2019,larves
La villeneuve les charleville,,,51626,8 %,2019,pctpied
La villeneuve les charleville,,,51626,"0,08",2019,larves
LACHY,"48,7692805411664","3,70075507095438",51313,"0,00",2020,larves
LACHY,"48,7692805411664","3,70075507095438",51313,0 %,2020,pctpied
LAGERY,"49,2070882902446","3,7326251394469",51314,"0,00",2020,larves
LAON,,,2408,2 %,2019,pctpied
LAON,,,2408,"0,02",2019,larves
LAPPION,"49,5897972335423","3,96458216080502",02409,"0,10",2020,larves
LAPPION,"49,5897972335423","3,96458216080502",2409,10 %,2020,pctpied
Le Recoude,,,51233,"0,24",2019,larves
LECHEROLLES,"48,7628","3,3474",77247,"0,06",2020,larves
Les Essarts Le V,,,51236,24 %,2019,pctpied
