"INSEE_COM";"NOM_COM";"codgeo";"libgeo";"pct"
"01001";"L'Abergement-Clémenciat";"066";"DOMBES";100
"01002";"L'Abergement-de-Varey";"134";"PLAINE DE L'AIN";100
"01004";"Ambérieu-en-Bugey";"134";"PLAINE DE L'AIN";100
"01005";"Ambérieux-en-Dombes";"066";"DOMBES";100
"01006";"Ambléon";"036";"BUGEY";100
"01007";"Ambronay";"134";"PLAINE DE L'AIN";100
"01008";"Ambutrix";"134";"PLAINE DE L'AIN";100
"01009";"Andert-et-Condon";"036";"BUGEY";100
"01010";"Anglefort";"104";"MONTS DU JURA";100
"01011";"Apremont";"104";"MONTS DU JURA";100
"01012";"Aranc";"104";"MONTS DU JURA";100
"01013";"Arandas";"104";"MONTS DU JURA";100
"01014";"Arbent";"104";"MONTS DU JURA";100
"01015";"Arboys en Bugey";"036";"BUGEY";100
"01016";"Arbigny";"183";"VAL DE SAONE";100
"01017";"Argis";"104";"MONTS DU JURA";100
"01019";"Armix";"104";"MONTS DU JURA";100
"01021";"Ars-sur-Formans";"183";"VAL DE SAONE";100
"01022";"Artemare";"104";"MONTS DU JURA";100
"01023";"Asnières-sur-Saône";"183";"VAL DE SAONE";100
"01024";"Attignat";"034";"BRESSE";100
"01025";"Bâgé-Dommartin";"183";"VAL DE SAONE";100
"01026";"Bâgé-le-Châtel";"183";"VAL DE SAONE";100
"01027";"Balan";"183";"VAL DE SAONE";100
"01028";"Baneins";"066";"DOMBES";100
"01029";"Beaupont";"034";"BRESSE";100
"01030";"Beauregard";"183";"VAL DE SAONE";100
"01031";"Bellignat";"104";"MONTS DU JURA";100
"01032";"Béligneux";"183";"VAL DE SAONE";100
"01033";"Bellegarde-sur-Valserine";"104";"MONTS DU JURA";100
"01034";"Belley";"036";"BUGEY";100
"01035";"Belleydoux";"104";"MONTS DU JURA";100
"01036";"Belmont-Luthézieu";"104";"MONTS DU JURA";100
"01037";"Bénonces";"036";"BUGEY";100
"01038";"Bény";"034";"BRESSE";100
"01039";"Béon";"104";"MONTS DU JURA";100
"01040";"Béréziat";"034";"BRESSE";100
"01041";"Bettant";"134";"PLAINE DE L'AIN";100
"01042";"Bey";"183";"VAL DE SAONE";100
"01043";"Beynost";"183";"VAL DE SAONE";100
"01044";"Billiat";"104";"MONTS DU JURA";100
"01045";"Birieux";"066";"DOMBES";100
"01046";"Biziat";"066";"DOMBES";100
"01047";"Blyes";"134";"PLAINE DE L'AIN";100
"01049";"La Boisse";"183";"VAL DE SAONE";100
"01050";"Boissey";"183";"VAL DE SAONE";100
"01051";"Bolozon";"104";"MONTS DU JURA";100
"01052";"Bouligneux";"066";"DOMBES";100
"01053";"Bourg-en-Bresse";"034";"BRESSE";100
"01054";"Bourg-Saint-Christophe";"134";"PLAINE DE L'AIN";100
"01056";"Boyeux-Saint-Jérôme";"104";"MONTS DU JURA";100
"01057";"Boz";"183";"VAL DE SAONE";100
"01058";"Brégnier-Cordon";"036";"BUGEY";100
"01059";"Brénaz";"104";"MONTS DU JURA";100
"01060";"Brénod";"104";"MONTS DU JURA";100
"01061";"Brens";"036";"BUGEY";100
"01062";"Bressolles";"183";"VAL DE SAONE";100
"01063";"Brion";"104";"MONTS DU JURA";100
"01064";"Briord";"036";"BUGEY";100
"01065";"Buellas";"034";"BRESSE";100
"01066";"La Burbanche";"104";"MONTS DU JURA";100
"01067";"Ceignes";"104";"MONTS DU JURA";100
"01068";"Cerdon";"104";"MONTS DU JURA";100
"01069";"Certines";"134";"PLAINE DE L'AIN";100
"01071";"Cessy";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01072";"Ceyzériat";"034";"BRESSE";100
"01073";"Ceyzérieu";"104";"MONTS DU JURA";100
"01074";"Chalamont";"066";"DOMBES";100
"01075";"Chaleins";"066";"DOMBES";100
"01076";"Chaley";"104";"MONTS DU JURA";100
"01077";"Challes-la-Montagne";"104";"MONTS DU JURA";100
"01078";"Challex";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01079";"Champagne-en-Valromey";"104";"MONTS DU JURA";100
"01080";"Champdor-Corcelles";"104";"MONTS DU JURA";100
"01081";"Champfromier";"104";"MONTS DU JURA";100
"01082";"Chanay";"104";"MONTS DU JURA";100
"01083";"Chaneins";"066";"DOMBES";100
"01084";"Chanoz-Châtenay";"066";"DOMBES";100
"01085";"La Chapelle-du-Châtelard";"066";"DOMBES";100
"01087";"Charix";"104";"MONTS DU JURA";100
"01088";"Charnoz-sur-Ain";"134";"PLAINE DE L'AIN";100
"01089";"Château-Gaillard";"134";"PLAINE DE L'AIN";100
"01090";"Châtenay";"066";"DOMBES";100
"01091";"Châtillon-en-Michaille";"104";"MONTS DU JURA";100
"01092";"Châtillon-la-Palud";"066";"DOMBES";100
"01093";"Châtillon-sur-Chalaronne";"066";"DOMBES";100
"01094";"Chavannes-sur-Reyssouze";"183";"VAL DE SAONE";100
"01095";"Nivigne et Suran";"034";"BRESSE";100
"01096";"Chaveyriat";"066";"DOMBES";100
"01097";"Chavornay";"104";"MONTS DU JURA";100
"01099";"Chazey-sur-Ain";"134";"PLAINE DE L'AIN";100
"01100";"Cheignieu-la-Balme";"104";"MONTS DU JURA";100
"01101";"Chevillard";"104";"MONTS DU JURA";100
"01102";"Chevroux";"183";"VAL DE SAONE";100
"01103";"Chevry";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01104";"Chézery-Forens";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01105";"Civrieux";"183";"VAL DE SAONE";100
"01106";"Cize";"034";"BRESSE";100
"01107";"Cleyzieu";"104";"MONTS DU JURA";100
"01108";"Coligny";"034";"BRESSE";100
"01109";"Collonges";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01110";"Colomieu";"036";"BUGEY";100
"01111";"Conand";"104";"MONTS DU JURA";100
"01112";"Condamine";"104";"MONTS DU JURA";100
"01113";"Condeissiat";"066";"DOMBES";100
"01114";"Confort";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01115";"Confrançon";"034";"BRESSE";100
"01116";"Contrevoz";"104";"MONTS DU JURA";100
"01117";"Conzieu";"036";"BUGEY";100
"01118";"Corbonod";"104";"MONTS DU JURA";100
"01121";"Corlier";"104";"MONTS DU JURA";100
"01122";"Cormaranche-en-Bugey";"104";"MONTS DU JURA";100
"01123";"Cormoranche-sur-Saône";"183";"VAL DE SAONE";100
"01124";"Cormoz";"034";"BRESSE";100
"01125";"Corveissiat";"034";"BRESSE";100
"01127";"Courmangoux";"034";"BRESSE";100
"01128";"Courtes";"034";"BRESSE";100
"01129";"Crans";"066";"DOMBES";100
"01130";"Cras-sur-Reyssouze";"034";"BRESSE";100
"01133";"Cressin-Rochefort";"036";"BUGEY";100
"01134";"Crottet";"183";"VAL DE SAONE";100
"01135";"Crozet";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01136";"Cruzilles-lès-Mépillat";"183";"VAL DE SAONE";100
"01138";"Culoz";"104";"MONTS DU JURA";100
"01139";"Curciat-Dongalon";"034";"BRESSE";100
"01140";"Curtafond";"034";"BRESSE";100
"01141";"Cuzieu";"104";"MONTS DU JURA";100
"01142";"Dagneux";"183";"VAL DE SAONE";100
"01143";"Divonne-les-Bains";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01145";"Dompierre-sur-Veyle";"134";"PLAINE DE L'AIN";100
"01146";"Dompierre-sur-Chalaronne";"066";"DOMBES";100
"01147";"Domsure";"034";"BRESSE";100
"01148";"Dortan";"104";"MONTS DU JURA";100
"01149";"Douvres";"134";"PLAINE DE L'AIN";100
"01150";"Drom";"034";"BRESSE";100
"01151";"Druillat";"134";"PLAINE DE L'AIN";100
"01152";"Échallon";"104";"MONTS DU JURA";100
"01153";"Échenevex";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01154";"Étrez";"034";"BRESSE";100
"01155";"Évosges";"104";"MONTS DU JURA";100
"01156";"Faramans";"134";"PLAINE DE L'AIN";100
"01157";"Fareins";"066";"DOMBES";100
"01158";"Farges";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01159";"Feillens";"183";"VAL DE SAONE";100
"01160";"Ferney-Voltaire";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01162";"Flaxieu";"104";"MONTS DU JURA";100
"01163";"Foissiat";"034";"BRESSE";100
"01165";"Francheleins";"066";"DOMBES";100
"01166";"Frans";"183";"VAL DE SAONE";100
"01167";"Garnerans";"183";"VAL DE SAONE";100
"01169";"Genouilleux";"183";"VAL DE SAONE";100
"01170";"Béard-Géovreissiat";"104";"MONTS DU JURA";100
"01171";"Géovreisset";"104";"MONTS DU JURA";100
"01173";"Gex";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01174";"Giron";"104";"MONTS DU JURA";100
"01175";"Gorrevod";"183";"VAL DE SAONE";100
"01177";"Grand-Corent";"034";"BRESSE";100
"01179";"Grièges";"183";"VAL DE SAONE";100
"01180";"Grilly";"191";"VALLEE DE SAVOIE ET HAUTE SAVOIE-PAYS DE GEX-BORD DU LEMAN-AVT PAYS SAVOYARD";100
"01181";"Groissiat";"104";"MONTS DU JURA";100
"01183";"Guéreins";"183";"VAL DE SAONE";100
"01184";"Hautecourt-Romanèche";"034";"BRESSE";100
"01185";"Hauteville-Lompnes";"104";"MONTS DU JURA";100
"01186";"Hostiaz";"104";"MONTS DU JURA";100
